Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Costs,Demand Forecast
cosmetics,SKU49,78.89791320564004,19,99,8001.613206519002,97,24,9,6,Carrier C,2.5056210329009154,Delhi,28,177,28,14.147815443979216,Pass,2.825813985400132,Rail,336.8901685199779,89
cosmetics,SKU50,14.203484264803022,91,633,5910.885389668899,31,23,82,10,Carrier A,6.247860914975991,Delhi,20,306,21,45.17875792463452,Fail,4.754800804671185,Rail,496.24865029194046,601
haircare,SKU51,26.70076097246173,61,154,9866.465457979695,100,4,52,1,Carrier A,4.783000557947665,Bangalore,18,673,28,14.19032834456998,Pending,1.7729511720835571,Road,694.9823175794459,169
skincare,SKU52,98.03182965646508,1,820,9435.76260891213,64,11,11,1,Carrier B,8.631052179768947,Mumbai,10,727,27,9.166849148597151,Pending,2.1224716191438247,Air,602.8984988383834,738
skincare,SKU53,30.34147071121421,93,242,8232.334829425821,96,25,54,3,Carrier B,1.0134865660958965,Delhi,1,631,17,83.34405899167797,Pending,1.4103475760760271,Air,750.7378406682709,230
haircare,SKU54,31.146243160240854,11,622,6088.021479940859,33,22,61,3,Carrier B,4.305103471287636,Kolkata,26,497,29,30.186023375822508,Pass,2.478771975539748,Road,814.0699965821875,529
haircare,SKU55,79.85505834078943,16,701,2925.6751703038126,97,11,11,5,Carrier A,5.014364955030907,Delhi,27,918,5,30.3235452566165,Fail,4.548919659396385,Sea,323.01292795247883,631
skincare,SKU56,20.986386037043378,90,93,4767.020484344137,25,23,83,5,Carrier C,1.7744297140717396,Mumbai,24,826,28,12.836284572832753,Pass,1.173755495387454,Air,832.2108087060217,88
haircare,SKU57,49.26320535073416,65,227,1605.8669003924058,5,18,51,1,Carrier B,9.16055853538187,Delhi,21,588,25,67.77962298707814,Pending,2.511174830212707,Rail,482.1912386025281,227
skincare,SKU58,59.84156137728931,81,896,2021.149810337108,10,5,44,7,Carrier A,4.93843856471209,Delhi,18,396,7,65.04741509469146,Fail,1.7303747198591968,Road,110.36433523136472,941
cosmetics,SKU59,63.828398347710966,30,484,1061.618523013288,100,16,26,7,Carrier B,7.293722596867728,Kolkata,11,176,4,1.900762243519458,Fail,0.4471940154638232,Air,312.5742736100933,460
skincare,SKU60,17.028027920188702,16,380,8864.084349586436,41,27,72,8,Carrier C,4.3813681581023145,Mumbai,29,929,24,87.21305781513568,Fail,2.853090616649054,Rail,430.1690969751365,323
haircare,SKU61,52.02874990329492,23,117,6885.589350896253,32,23,36,7,Carrier C,9.030340422521949,Kolkata,14,480,12,78.7023939688789,Fail,4.367470538205053,Air,164.36652824341942,105
cosmetics,SKU62,72.79635395558736,89,270,3899.746833729224,86,2,40,7,Carrier C,7.291701388776776,Mumbai,13,751,14,21.048642725168644,Pass,1.8740014040443749,Sea,320.8465157591116,284
skincare,SKU63,13.017376785287857,55,246,4256.949140850225,54,19,10,4,Carrier A,2.45793352798733,Bangalore,18,736,10,20.075003975630484,Pending,3.6328432903821337,Sea,687.2861778664173,246
skincare,SKU64,89.63409560813533,11,134,8458.730878367178,73,27,75,6,Carrier C,4.585353468194652,Delhi,17,328,6,8.693042425877287,Fail,0.1594863147175146,Air,771.2250846811575,121
skincare,SKU65,33.69771720664313,72,457,8354.579686481995,57,24,54,8,Carrier C,6.580541347884595,Kolkata,16,358,21,1.5972227430506774,Fail,4.911095954842331,Rail,555.8591036717435,434
skincare,SKU66,26.03486977396209,52,704,8367.721618020154,13,17,19,8,Carrier A,2.2161427287713638,Kolkata,24,867,28,42.08443673830996,Fail,3.4480632883402618,Road,393.8433485784279,704
skincare,SKU67,87.75543235400107,16,513,9473.798032508335,12,9,71,9,Carrier C,9.147811544710631,Mumbai,10,198,11,7.057876146978231,Pass,0.1319554443118148,Sea,169.2718013847869,487
haircare,SKU68,37.93181238279032,29,163,3550.218432780992,0,8,58,8,Carrier B,1.1942518648849991,Bangalore,2,375,18,97.1135815634622,Fail,1.98346787217418,Rail,299.7063031181032,163
skincare,SKU69,54.86552851706979,62,511,1752.3810874841247,95,1,27,3,Carrier B,9.705286790120349,Kolkata,9,862,7,77.62776581274817,Pending,1.3623879886491086,Air,207.6632062085756,537
haircare,SKU70,47.914541824058766,90,32,7014.887987203389,10,12,22,4,Carrier B,6.315717754600723,Bangalore,22,775,16,11.440781823761265,Pass,1.8305755986122316,Road,183.272898748711,32
cosmetics,SKU71,6.381533162747966,14,637,8180.337085425443,76,2,26,6,Carrier A,9.228190317052515,Bangalore,2,258,10,30.66167747785956,Pending,2.078750607874969,Road,405.1670678888559,605
cosmetics,SKU72,90.20442752052809,88,478,2633.121981312256,57,29,77,9,Carrier A,6.599614159689544,Bangalore,21,152,11,55.76049289524421,Pending,3.213329607438309,Rail,677.9445698461833,454
cosmetics,SKU73,83.8510176813046,41,375,7910.886916140686,17,25,66,5,Carrier B,1.5129368369160772,Chennai,13,444,4,46.87023879761716,Fail,4.620546064513706,Road,866.4728001296578,338
haircare,SKU74,3.170011413566155,64,904,5709.945295969287,41,6,1,5,Carrier A,5.237654650037448,Delhi,1,919,9,80.58085215644782,Fail,0.3966127241099354,Rail,341.55265678322337,949
skincare,SKU75,92.99688423397066,29,106,1889.073589779335,16,20,56,10,Carrier C,2.473897761045461,Chennai,25,759,11,48.06478264000659,Pass,2.030069088668752,Air,873.1296480176514,101
haircare,SKU76,69.10879954743032,23,241,5328.375984297758,38,1,22,10,Carrier A,7.054538336836926,Bangalore,25,985,24,64.32359779560022,Pending,2.1800374515822165,Rail,997.4134501331946,241
haircare,SKU77,57.44974295897148,14,359,2483.7601775427947,96,28,57,4,Carrier B,6.780946625617895,Kolkata,26,334,5,42.95244474899184,Pass,3.055141818307548,Road,852.56809891985,305
haircare,SKU78,6.306883176111915,50,946,1292.4584179377562,5,4,51,5,Carrier B,8.46704977086199,Mumbai,25,858,21,71.12651472040338,Pending,4.096881332470452,Sea,323.59220343132216,946
haircare,SKU79,57.05703122110322,56,198,7888.723268427081,31,25,20,1,Carrier B,6.4963253642950445,Bangalore,5,228,12,57.87090292403628,Pending,0.1658716274806082,Air,351.50421933503867,188
skincare,SKU80,91.12831835044432,75,872,8651.672682982065,39,14,41,2,Carrier C,2.8331846794189746,Chennai,8,202,5,76.96122802382001,Fail,2.8496621985053308,Sea,787.7798504943445,872
haircare,SKU81,72.81920693031822,9,774,4384.413400045863,48,6,8,5,Carrier B,4.066277501512044,Delhi,28,698,1,19.789592941903603,Pending,2.547547121548712,Rail,276.77833594679885,735
skincare,SKU82,17.034930739467917,13,336,2943.3818676094515,42,19,72,1,Carrier A,4.70818187354193,Mumbai,6,955,26,4.46527843494324,Pending,4.137877048622357,Road,589.9785556280407,302
haircare,SKU83,68.91124621160633,82,663,2411.754632110491,65,24,7,8,Carrier B,4.949839577996949,Bangalore,20,443,5,97.73059380053304,Fail,0.7730061340672478,Road,682.9710182260933,630
haircare,SKU84,89.10436729210225,99,618,2048.2900998487103,73,26,80,10,Carrier A,8.381615624922631,Chennai,24,589,22,33.808636513209095,Pass,4.843456577118041,Air,465.457005963688,587
cosmetics,SKU85,76.96299441519388,83,25,8684.613059253858,15,18,66,2,Carrier C,8.249168704871728,Chennai,4,211,2,69.9293455186723,Fail,1.3744289997457582,Road,842.6868300046415,26
skincare,SKU86,19.99817694040422,18,223,1229.5910285649834,32,14,22,6,Carrier B,1.4543053101535517,Mumbai,4,569,18,74.60896999519468,Pass,2.0515129307662465,Rail,264.2548898358665,201
haircare,SKU87,80.41403665035574,24,79,5133.846701086692,5,7,55,10,Carrier A,6.575803797548535,Chennai,27,523,17,28.69699682414317,Fail,3.693737787839276,Sea,879.3592177349243,79
cosmetics,SKU88,75.27040697572501,58,737,9444.74203306298,60,18,85,7,Carrier A,3.8012531329310777,Mumbai,21,953,11,68.18491905704117,Pending,0.722204401882931,Sea,103.91624796070496,737
cosmetics,SKU89,97.76008558193868,10,134,5924.682566853231,90,1,27,8,Carrier B,9.92981624527726,Kolkata,23,370,11,46.60387338164447,Pending,1.9076657339590744,Rail,517.4999739290605,134
skincare,SKU90,13.881913501359142,56,320,9592.633570280312,66,18,96,7,Carrier B,7.674430708112694,Bangalore,8,585,8,85.67596333579797,Pass,1.2193822244013883,Rail,990.0784725058112,320
cosmetics,SKU91,62.11196546396179,90,916,1935.206793507599,98,22,85,7,Carrier B,7.471514084401146,Delhi,5,207,28,39.772882502339975,Pending,0.6260018582093946,Rail,996.7783149506238,870
cosmetics,SKU92,47.71423307582023,44,276,2100.1297546259366,90,25,10,8,Carrier B,4.469500026123601,Mumbai,4,671,29,62.61269039561434,Pass,0.3334318252247392,Rail,230.0927825367629,248
haircare,SKU93,69.29083100290549,88,114,4531.4021336919095,63,17,66,1,Carrier C,7.0064320590043945,Chennai,21,824,20,35.63365234334388,Fail,4.165781795424145,Air,823.5238458881558,120
cosmetics,SKU94,3.037688724631414,97,987,7888.356546661873,77,26,72,9,Carrier B,6.942945942032581,Delhi,12,908,14,60.38737861486212,Pass,1.4636074984727798,Rail,846.6652569866948,938
haircare,SKU95,77.90392721944775,65,672,7386.363944048664,15,14,26,9,Carrier B,8.630338869602754,Mumbai,18,450,26,58.89068576858998,Pending,1.2108821295850665,Air,778.8642413766479,672
cosmetics,SKU96,24.42313142037338,29,324,7698.424765632117,67,2,32,3,Carrier C,5.352878043996809,Mumbai,28,648,28,17.80375633139127,Pending,3.872047681482133,Road,188.74214114905695,324
haircare,SKU97,3.526111259143416,56,62,4370.916579984536,46,19,4,9,Carrier A,7.904845611209675,Mumbai,10,535,13,65.76515592636746,Fail,3.376237834717981,Road,540.1324228679678,65
skincare,SKU98,19.7546048668786,43,913,8525.952559683526,53,1,27,7,Carrier B,1.409801095138073,Chennai,28,581,9,5.604690864371781,Pending,2.908122169351261,Rail,882.1988635470415,913
haircare,SKU99,68.51783269927664,17,627,9185.185829181704,55,8,59,6,Carrier B,1.3110237561206226,Chennai,29,921,2,38.07289852062604,Fail,0.3460272907055034,Rail,210.74300896424612,596
